#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Avg Thread Executed,Address Space,Access Operation,Access Size,L1 Sectors Global,L2 Sectors Global Excessive,L2 Sectors Global,L2 Sectors Global Ideal,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
,,gpu_search_key
23,00000007 00b90860,"     LEA.HI R9, R9, R0, RZ, 0x5 ",12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,00000007 00b90870,"@!P0 STG.E.SYS [R6], R13 ",12,120,116,8192,32766,3,Global,Store,32,8107,0,8192,8192,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,2
25,00000007 00b90880,     BAR.SYNC 0x0 ,12,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,00000007 00b90890,"     LDG.E.SYS R15, [R4] ",13,41,35,8192,262144,32,Global,Load,32,32768,0,32768,32768,26,0,0,0,8,0,0,0,0,0,0,2,3,0,0,0,2,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2
27,00000007 00b908a0,"     LDG.E.SYS R10, [R2+0x4] ",14,5,4,8192,262144,32,Global,Load,32,8192,0,8192,8192,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
28,00000007 00b908b0,"     LOP3.LUT R9, R9, 0xffffffe0, RZ, 0xc0, !PT ",14,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,00000007 00b908c0,"     IMAD.IADD R9, R0, 0x1, -R9 ",14,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,00000007 00b908d0,"     SHF.R.S32.HI R0, RZ, 0x1f, R9 ",14,0,0,8192,262144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,00000007 00b908e0,"     LEA.HI R0, R0, R9, RZ, 0x3 ",14,1,0,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,00000007 00b908f0,"     IMAD.MOV.U32 R9, RZ, RZ, 0xff ",14,2,0,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,00000007 00b90900,"     LOP3.LUT R0, R0, 0xfffffff8, RZ, 0xc0, !PT ",14,1,0,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,00000007 00b90910,"     SHF.L.U32 R8, R9, R0, RZ ",14,5,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,00000007 00b90920,"     ISETP.NE.AND P0, PT, R15, R10, PT ",14,27,21,8192,262144,32,,,,,,,,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
36,00000007 00b90930,"     VOTE.ANY R5, PT, !P0 ",14,3,3,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,00000007 00b90940,"     LOP3.LUT R5, R5, R8, RZ, 0xc0, !PT ",14,1,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,00000007 00b90950,"     SHF.R.U32.HI R5, RZ, R0, R5 ",14,3,2,8192,262144,32,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,00000007 00b90960,"     ISETP.NE.AND P0, PT, R5, RZ, PT ",13,1,1,8192,262144,32,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,00000007 00b90970,@P0  EXIT ,13,3,2,8192,262128,31,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41,00000007 00b90980,"     LDG.E.SYS R3, [R2] ",13,10,7,2,16,8,Global,Load,32,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,00000007 00b90990,"     IMAD.MOV.U32 R5, RZ, RZ, 0x40 ",12,0,0,2,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,00000007 00b909a0,"     LOP3.LUT R4, R10, 0xffffff, R3, 0x48, !PT ",12,0,0,2,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,00000007 00b909b0,"     IMAD.WIDE.U32 R4, R4, R5, c[0x0][0x170] ",11,0,0,2,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,00000007 00b909c0,"     IMAD.WIDE R4, R11, 0x4, R4 ",11,0,0,2,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,00000007 00b909d0,"     LDG.E.SYS R9, [R4] ",10,0,0,2,16,8,Global,Load,32,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,00000007 00b909e0,"     ISETP.NE.AND P0, PT, R9, R10, PT ",10,1,1,2,16,8,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,00000007 00b909f0,@P0  EXIT ,9,0,0,2,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,00000007 00b90a00,"     LDG.E.SYS R5, [R4+0x20] ",9,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,00000007 00b90a10,"     STG.E.SYS [R6], R5 ",4,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,00000007 00b90a20,     EXIT ,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,00000007 00b90a30,     BRA 0x700b90a30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,00000007 00b90a40,     NOP,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,00000007 00b90a50,     NOP,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,00000007 00b90a60,     NOP,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,00000007 00b90a70,     NOP,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
